st,stf
MA,25
NE,31
NE,31
NE,31
KS,20
MI,26
OK,40
KS,20
KS,20
WI,55
OK,40
KS,20
MO,29
WY,56
TX,48
FL,12
CO,8
OK,40
WI,55
FL,12
ND,38
ND,38
NE,31
ND,38
FL,12
OK,40
TX,48
MI,26
MI,26
OK,40
NE,31
NE,31
SC,45
ND,38
SC,45
NC,37
TX,48
DE,10
TX,48
PA,42
MI,26
IL,17
GA,13
GA,13
ID,16
SD,46
TX,48
IL,17
IL,17
IL,17
TX,48
NY,36
KS,20
MN,27
MN,27
NE,31
SD,46
TX,48
NE,31
NE,31
NE,31
KS,20
MO,29
KS,20
FL,12
MO,29
TX,48
MO,29
IL,17
IL,17
IL,17
IL,17
IN,18
FL,12
NJ,34
AL,1
AL,1
AL,1
VT,50
NH,33
CT,9
CT,9
MA,25
MA,25
AR,5
AR,5
MS,28
TN,47
GA,13
FL,12
AR,5
FL,12
AR,5
IL,17
AR,5
AR,5
IL,17
IL,17
IL,17
AR,5
IL,17
IN,18
AR,5
IN,18
AR,5
OH,39
IN,18
IN,18
MO,29
IL,17
IL,17
IL,17
SC,45
AR,5
GA,13
GA,13
TX,48
LA,22
FL,12
TX,48
TX,48
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
MS,28
MS,28
TN,47
TN,47
MS,28
GA,13
SC,45
MO,29
MO,29
MO,29
MO,29
OK,40
MO,29
OK,40
MO,29
IL,17
IN,18
MO,29
IN,18
IN,18
MO,29
OH,39
OH,39
IN,18
IN,18
OH,39
IN,18
IN,18
IN,18
IN,18
TN,47
GA,13
TN,47
MI,26
IL,17
IL,17
IN,18
IN,18
MO,29
IN,18
IN,18
IN,18
IN,18
IN,18
IN,18
OH,39
WV,54
TN,47
GA,13
NC,37
AL,1
GA,13
NC,37
NC,37
NC,37
NC,37
NC,37
NC,37
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
MO,29
IL,17
OK,40
KS,20
KS,20
OK,40
KS,20
KS,20
OK,40
KS,20
OK,40
OK,40
KS,20
KS,20
OK,40
OK,40
OK,40
NE,31
OK,40
OK,40
MO,29
WI,55
AR,5
WI,55
AR,5
WI,55
MS,28
IL,17
KY,21
IL,17
IL,17
MI,26
TN,47
IL,17
IN,18
KY,21
MI,26
IN,18
MI,26
